geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
county,Beaverhead County,driving,NA,Montana,United States,2020-07-23,247.01
county,Beaverhead County,driving,NA,Montana,United States,2020-07-24,298
county,Beaverhead County,driving,NA,Montana,United States,2020-07-25,284.83
county,Beaverhead County,driving,NA,Montana,United States,2020-07-26,278.14
county,Beaverhead County,driving,NA,Montana,United States,2020-07-27,197.9
county,Beaverhead County,driving,NA,Montana,United States,2020-07-28,202.5
county,Beaverhead County,driving,NA,Montana,United States,2020-07-29,221.26
county,Beaverhead County,driving,NA,Montana,United States,2020-07-30,246.71
county,Beaverhead County,driving,NA,Montana,United States,2020-07-31,266.47
county,Beaverhead County,driving,NA,Montana,United States,2020-08-01,295.71
county,Beaverhead County,driving,NA,Montana,United States,2020-08-02,275.15
county,Beaverhead County,driving,NA,Montana,United States,2020-08-03,239.92
county,Beaverhead County,driving,NA,Montana,United States,2020-08-04,206.89
county,Beaverhead County,driving,NA,Montana,United States,2020-08-05,214.97
county,Beaverhead County,driving,NA,Montana,United States,2020-08-06,247.8
county,Beaverhead County,driving,NA,Montana,United States,2020-08-07,272.95
county,Beaverhead County,driving,NA,Montana,United States,2020-08-08,285.83
county,Beaverhead County,driving,NA,Montana,United States,2020-08-09,274.25
county,Beaverhead County,driving,NA,Montana,United States,2020-08-10,214.77
county,Beaverhead County,driving,NA,Montana,United States,2020-08-11,218.56
county,Beaverhead County,driving,NA,Montana,United States,2020-08-12,247.11
county,Beaverhead County,driving,NA,Montana,United States,2020-08-13,235.33
county,Beaverhead County,driving,NA,Montana,United States,2020-08-14,275.15
county,Beaverhead County,driving,NA,Montana,United States,2020-08-15,275.35
county,Beaverhead County,driving,NA,Montana,United States,2020-08-16,280.74
county,Beaverhead County,driving,NA,Montana,United States,2020-08-17,218.96
county,Beaverhead County,driving,NA,Montana,United States,2020-08-18,201.6
county,Beaverhead County,driving,NA,Montana,United States,2020-08-19,196.91
county,Beaverhead County,driving,NA,Montana,United States,2020-08-20,259.58
county,Beaverhead County,driving,NA,Montana,United States,2020-08-21,275.95
county,Beaverhead County,driving,NA,Montana,United States,2020-08-22,273.45
county,Beaverhead County,driving,NA,Montana,United States,2020-08-23,249.7
county,Beaverhead County,driving,NA,Montana,United States,2020-08-24,202.99
county,Beaverhead County,driving,NA,Montana,United States,2020-08-25,190.32
county,Beaverhead County,driving,NA,Montana,United States,2020-08-26,191.02
county,Beaverhead County,driving,NA,Montana,United States,2020-08-27,218.26
county,Beaverhead County,driving,NA,Montana,United States,2020-08-28,246.31
county,Beaverhead County,driving,NA,Montana,United States,2020-08-29,241.92
county,Beaverhead County,driving,NA,Montana,United States,2020-08-30,246.91
county,Beaverhead County,driving,NA,Montana,United States,2020-08-31,179.04
county,Beaverhead County,driving,NA,Montana,United States,2020-09-01,162.48
county,Beaverhead County,driving,NA,Montana,United States,2020-09-02,188.02
county,Beaverhead County,driving,NA,Montana,United States,2020-09-03,235.13
county,Beaverhead County,driving,NA,Montana,United States,2020-09-04,325.85
county,Beaverhead County,driving,NA,Montana,United States,2020-09-05,344.91
county,Beaverhead County,driving,NA,Montana,United States,2020-09-06,335.23
county,Beaverhead County,driving,NA,Montana,United States,2020-09-07,294.11
county,Beaverhead County,driving,NA,Montana,United States,2020-09-08,205.89
county,Beaverhead County,driving,NA,Montana,United States,2020-09-09,191.42
county,Beaverhead County,driving,NA,Montana,United States,2020-09-10,223.05
county,Beaverhead County,driving,NA,Montana,United States,2020-09-11,255.09
county,Beaverhead County,driving,NA,Montana,United States,2020-09-12,247.5
county,Beaverhead County,driving,NA,Montana,United States,2020-09-13,260.98
county,Beaverhead County,driving,NA,Montana,United States,2020-09-14,225.25
county,Beaverhead County,driving,NA,Montana,United States,2020-09-15,191.52
county,Beaverhead County,driving,NA,Montana,United States,2020-09-16,191.42
county,Beaverhead County,driving,NA,Montana,United States,2020-09-17,233.83
county,Beaverhead County,driving,NA,Montana,United States,2020-09-18,254.89
county,Beaverhead County,driving,NA,Montana,United States,2020-09-19,237.23
county,Beaverhead County,driving,NA,Montana,United States,2020-09-20,205.69
county,Beaverhead County,driving,NA,Montana,United States,2020-09-21,174.15
county,Beaverhead County,driving,NA,Montana,United States,2020-09-22,167.07
county,Beaverhead County,driving,NA,Montana,United States,2020-09-23,183.53
county,Beaverhead County,driving,NA,Montana,United States,2020-09-24,187.03
county,Beaverhead County,driving,NA,Montana,United States,2020-09-25,212.28
county,Beaverhead County,driving,NA,Montana,United States,2020-09-26,203.69
county,Beaverhead County,driving,NA,Montana,United States,2020-09-27,179.94
county,Beaverhead County,driving,NA,Montana,United States,2020-09-28,143.81
