X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-24,96.63
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-25,99.55
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-26,100.34
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-27,115.35
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-28,143.3
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-29,150.34
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-01,94.54
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-02,98.32
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-03,90.18
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-04,108.69
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-05,113.19
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-06,144.61
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-07,157.59
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-08,89.25
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-09,105.7
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-10,103.78
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-11,100.76
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-12,102.82
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-13,114.9
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-14,91.62
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-15,78.37
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-16,86.92
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-17,76.55
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-18,83.65
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-19,79.95
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-20,75.86
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-21,56.11
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-22,61.26
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-23,61.95
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-24,62.4
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-25,57.25
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-26,60.92
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-27,64.97
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-28,53.33
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-29,54.26
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-30,62.6
2,city,Anchorage,walking,NA,Alaska,United States,2020-03-31,61.06
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-01,61.44
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-02,54.6
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-03,67.79
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-04,61.26
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-05,61.98
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-06,60.92
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-07,62.6
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-08,65.42
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-09,63.7
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-10,79.19
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-11,68.96
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-12,46.74
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-13,64.25
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-14,72.18
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-15,71.15
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-16,74.52
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-17,78.81
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-18,81.49
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-19,69.13
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-20,69.02
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-21,70.74
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-22,84.86
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-23,81.52
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-24,93.23
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-25,87.47
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-26,84.72
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-27,97.84
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-28,95.64
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-29,102.58
2,city,Anchorage,walking,NA,Alaska,United States,2020-04-30,98.08
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-01,105.36
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-02,104.77
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-03,89.7
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-04,94.2
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-05,112.95
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-06,111.95
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-07,108.34
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-08,118.23
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-09,114.84
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-10,81.77
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-11,NA
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-12,NA
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-13,119.27
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-14,136.98
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-15,139.39
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-16,125.96
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-17,98.18
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-18,123.28
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-19,133.41
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-20,141.38
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-21,129.4
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-22,144.95
2,city,Anchorage,walking,NA,Alaska,United States,2020-05-23,123.97
