X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Albany,driving,NA,New York,United States,2020-05-23,95.16
1,city,Albany,driving,NA,New York,United States,2020-05-24,80.05
1,city,Albany,driving,NA,New York,United States,2020-05-25,79.79
1,city,Albany,driving,NA,New York,United States,2020-05-26,98.02
1,city,Albany,driving,NA,New York,United States,2020-05-27,102.63
1,city,Albany,driving,NA,New York,United States,2020-05-28,101.94
1,city,Albany,driving,NA,New York,United States,2020-05-29,109.61
1,city,Albany,driving,NA,New York,United States,2020-05-30,108.32
1,city,Albany,driving,NA,New York,United States,2020-05-31,79.66
1,city,Albany,driving,NA,New York,United States,2020-06-01,99.99
1,city,Albany,driving,NA,New York,United States,2020-06-02,96.37
1,city,Albany,driving,NA,New York,United States,2020-06-03,102.27
1,city,Albany,driving,NA,New York,United States,2020-06-04,110.13
1,city,Albany,driving,NA,New York,United States,2020-06-05,118.52
1,city,Albany,driving,NA,New York,United States,2020-06-06,108.07
1,city,Albany,driving,NA,New York,United States,2020-06-07,91.39
1,city,Albany,driving,NA,New York,United States,2020-06-08,107.53
1,city,Albany,driving,NA,New York,United States,2020-06-09,114.05
1,city,Albany,driving,NA,New York,United States,2020-06-10,113.21
1,city,Albany,driving,NA,New York,United States,2020-06-11,118.08
1,city,Albany,driving,NA,New York,United States,2020-06-12,132.25
1,city,Albany,driving,NA,New York,United States,2020-06-13,114.47
1,city,Albany,driving,NA,New York,United States,2020-06-14,95
1,city,Albany,driving,NA,New York,United States,2020-06-15,116.28
1,city,Albany,driving,NA,New York,United States,2020-06-16,120.79
1,city,Albany,driving,NA,New York,United States,2020-06-17,122.84
1,city,Albany,driving,NA,New York,United States,2020-06-18,126.78
1,city,Albany,driving,NA,New York,United States,2020-06-19,139.96
1,city,Albany,driving,NA,New York,United States,2020-06-20,119.71
1,city,Albany,driving,NA,New York,United States,2020-06-21,91
1,city,Albany,driving,NA,New York,United States,2020-06-22,121.17
1,city,Albany,driving,NA,New York,United States,2020-06-23,128.12
1,city,Albany,driving,NA,New York,United States,2020-06-24,128.76
1,city,Albany,driving,NA,New York,United States,2020-06-25,133.32
1,city,Albany,driving,NA,New York,United States,2020-06-26,148.34
1,city,Albany,driving,NA,New York,United States,2020-06-27,122.48
1,city,Albany,driving,NA,New York,United States,2020-06-28,98.49
