geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Akron,driving,NA,Ohio,United States,2020-06-19,179.54
city,Akron,driving,NA,Ohio,United States,2020-06-20,165.97
city,Akron,driving,NA,Ohio,United States,2020-06-21,113.49
city,Akron,driving,NA,Ohio,United States,2020-06-22,133.85
city,Akron,driving,NA,Ohio,United States,2020-06-23,143.22
city,Akron,driving,NA,Ohio,United States,2020-06-24,154.92
city,Akron,driving,NA,Ohio,United States,2020-06-25,160.25
city,Akron,driving,NA,Ohio,United States,2020-06-26,174.91
city,Akron,driving,NA,Ohio,United States,2020-06-27,160.52
city,Akron,driving,NA,Ohio,United States,2020-06-28,136.06
city,Akron,driving,NA,Ohio,United States,2020-06-29,153.2
city,Akron,driving,NA,Ohio,United States,2020-06-30,157.86
city,Akron,driving,NA,Ohio,United States,2020-07-01,165.36
city,Akron,driving,NA,Ohio,United States,2020-07-02,170.02
city,Akron,driving,NA,Ohio,United States,2020-07-03,166.93
city,Akron,driving,NA,Ohio,United States,2020-07-04,127.6
city,Akron,driving,NA,Ohio,United States,2020-07-05,120.75
city,Akron,driving,NA,Ohio,United States,2020-07-06,151.03
city,Akron,driving,NA,Ohio,United States,2020-07-07,150.85
city,Akron,driving,NA,Ohio,United States,2020-07-08,155.84
city,Akron,driving,NA,Ohio,United States,2020-07-09,158.3
city,Akron,driving,NA,Ohio,United States,2020-07-10,172.83
city,Akron,driving,NA,Ohio,United States,2020-07-11,159.55
city,Akron,driving,NA,Ohio,United States,2020-07-12,127.63
city,Akron,driving,NA,Ohio,United States,2020-07-13,148.08
city,Akron,driving,NA,Ohio,United States,2020-07-14,154.76
city,Akron,driving,NA,Ohio,United States,2020-07-15,154.77
city,Akron,driving,NA,Ohio,United States,2020-07-16,155.15
city,Akron,driving,NA,Ohio,United States,2020-07-17,179.55
city,Akron,driving,NA,Ohio,United States,2020-07-18,163.35
city,Akron,driving,NA,Ohio,United States,2020-07-19,123.98
city,Akron,driving,NA,Ohio,United States,2020-07-20,145.7
city,Akron,driving,NA,Ohio,United States,2020-07-21,152.94
city,Akron,driving,NA,Ohio,United States,2020-07-22,146.37
city,Akron,driving,NA,Ohio,United States,2020-07-23,154.16
city,Akron,driving,NA,Ohio,United States,2020-07-24,176.56
city,Akron,driving,NA,Ohio,United States,2020-07-25,165.04
city,Akron,driving,NA,Ohio,United States,2020-07-26,132.1
city,Akron,driving,NA,Ohio,United States,2020-07-27,143.73
city,Akron,driving,NA,Ohio,United States,2020-07-28,154.5
city,Akron,driving,NA,Ohio,United States,2020-07-29,156.93
city,Akron,driving,NA,Ohio,United States,2020-07-30,161.31
city,Akron,driving,NA,Ohio,United States,2020-07-31,171.12
city,Akron,driving,NA,Ohio,United States,2020-08-01,150.96
city,Akron,driving,NA,Ohio,United States,2020-08-02,116.95
city,Akron,driving,NA,Ohio,United States,2020-08-03,147.48
city,Akron,driving,NA,Ohio,United States,2020-08-04,148.57
city,Akron,driving,NA,Ohio,United States,2020-08-05,157.46
city,Akron,driving,NA,Ohio,United States,2020-08-06,159.12
city,Akron,driving,NA,Ohio,United States,2020-08-07,177.5
city,Akron,driving,NA,Ohio,United States,2020-08-08,168.17
city,Akron,driving,NA,Ohio,United States,2020-08-09,133
city,Akron,driving,NA,Ohio,United States,2020-08-10,150.64
city,Akron,driving,NA,Ohio,United States,2020-08-11,154.3
city,Akron,driving,NA,Ohio,United States,2020-08-12,156.01
city,Akron,driving,NA,Ohio,United States,2020-08-13,161.1
city,Akron,driving,NA,Ohio,United States,2020-08-14,178.7
city,Akron,driving,NA,Ohio,United States,2020-08-15,165.92
city,Akron,driving,NA,Ohio,United States,2020-08-16,128.46
city,Akron,driving,NA,Ohio,United States,2020-08-17,151.29
city,Akron,driving,NA,Ohio,United States,2020-08-18,160.98
city,Akron,driving,NA,Ohio,United States,2020-08-19,164.77
city,Akron,driving,NA,Ohio,United States,2020-08-20,171.46
city,Akron,driving,NA,Ohio,United States,2020-08-21,188.38
city,Akron,driving,NA,Ohio,United States,2020-08-22,182.03
city,Akron,driving,NA,Ohio,United States,2020-08-23,140.22
city,Akron,driving,NA,Ohio,United States,2020-08-24,155.09
city,Akron,driving,NA,Ohio,United States,2020-08-25,179.46
city,Akron,driving,NA,Ohio,United States,2020-08-26,154.79
city,Akron,driving,NA,Ohio,United States,2020-08-27,153.9
city,Akron,driving,NA,Ohio,United States,2020-08-28,169.35
city,Akron,driving,NA,Ohio,United States,2020-08-29,166.39
city,Akron,driving,NA,Ohio,United States,2020-08-30,129.42
city,Akron,driving,NA,Ohio,United States,2020-08-31,145.4
city,Akron,driving,NA,Ohio,United States,2020-09-01,152.94
